مشخصه,نام درس,مقطع کلاس,نظری,نوع عملی,نوع عملی,جنسیت,گروه کلاس,باقي مانده,ساعت کلاس,ساعت امتحان,ت امتحان,نام استاد,گروه بندی,,,,
91318,آزمايشگاه پايگاه داده,کارشناسي,0,1,تخصصي,مختلط, ,0,يکشنـــبه15:45 14:15,00:00,/ /,سليمي شهركي الياس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91319,آزمايشگاه پايگاه داده,کارشناسي,0,1,تخصصي,مختلط, ,0,يکشنـــبه17:30 16:00,00:00,/ /,سليمي شهركي الياس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91320,آزمايشگاه پايگاه داده,کارشناسي,0,1,تخصصي,مختلط, ,0,يکشنـــبه19:15 17:45,00:00,/ /,سليمي شهركي الياس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91308,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,يکشنـــبه15:45 14:15,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91362,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه09:45 08:15,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91363,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه11:30 10:00,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91364,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه13:15 11:45,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92062,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه15:45 14:15,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92063,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه17:30 16:00,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92064,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه19:15 17:45,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91352,آزمايشگاه سيستم هاي عامل,کارشناسي,0,1,اصلي,مختلط, ,0,سه شنبــه15:30 14:00,00:00,/ /,محمدزاده جواد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
92093,آزمايشگاه سيستم هاي عامل,کارشناسي,0,1,اصلي,مختلط, ,0,سه شنبــه17:00 15:30,00:00,/ /,محمدزاده جواد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91348,آزمايشگاه سيستم هاي عامل,کارشناسي,0,1,اصلي,مختلط, ,0,سه شنبــه14:00 12:30,00:00,/ /,محمدزاده جواد,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91315,آزمايشگاه سيستم هاي عامل,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه15:45 14:15,00:00,/ /,حريفي ساسان,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91316,آزمايشگاه سيستم هاي عامل,کارشناسي,0,1,اصلي,مختلط, ,-1,يکشنـــبه15:45 14:15,00:00,/ /,حريفي ساسان,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91322,آزمايشگاه شبكه هاي كامپيوتري,کارشناسي,0,1,اصلي,مختلط, ,0,دوشـــنبه15:45 14:15,00:00,/ /,آقابراري سودابه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91324,آزمايشگاه شبكه هاي كامپيوتري,کارشناسي,0,1,اصلي,مختلط, ,0,چهار شنبه15:45 14:15,00:00,/ /,محمدي پرگو ابراهيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91325,آزمايشگاه شبكه هاي كامپيوتري,کارشناسي,0,1,اصلي,مختلط, ,0,چهار شنبه17:30 16:00,00:00,/ /,محمدي پرگو ابراهيم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11031,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,يکشنـــبه15:45 14:15,00:00,/ /,آقازاده مريم,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
11032,آزمايشگاه فيزيك (2),کارشناسي,0,1,پايه,مختلط, ,0,دوشـــنبه09:45 08:15,00:00,/ /,حاج اكبري فاطمه,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91318,آزمايشگاه پايگاه داده,کارشناسي,0,1,تخصصي,مختلط, ,0,يکشنـــبه15:45 14:15,00:00,/ /,سليمي شهركي الياس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91319,آزمايشگاه پايگاه داده,کارشناسي,0,1,تخصصي,مختلط, ,0,يکشنـــبه17:30 16:00,00:00,/ /,سليمي شهركي الياس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91320,آزمايشگاه پايگاه داده,کارشناسي,0,1,تخصصي,مختلط, ,0,يکشنـــبه19:15 17:45,00:00,/ /,سليمي شهركي الياس,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91308,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,يکشنـــبه15:45 14:15,00:00,/ /,اسلامي سيد علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
91362,آزمايشگاه ريزپردازنده,کارشناسي,0,1,اصلي,مختلط, ,0,شنبـــــه09:45 08:15,00:00,/ /,محسني علي,نوع درس,نوع درس,نوع درس,نوع درس,نوع درس
